MODEL_NAME,NUM_EPOCHS,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-08-04T14-20-33_tanh_4_68,200,100,5,tanh,4,1,0.011346,0.1609558,0.0390464,0.2695108,0.0216132,0.2232256,-2.812409729411988,-2.8156084978606724,-29.721509974379963,0.7424071384085007,-1.766870166286516e-06
2026-08-04T14-20-33_tanh_4_69,200,100,5,tanh,4,1,0.002588,0.0735675,0.0017954,0.066565,0.0025611,0.0761492,0.7854719235720073,-0.004907039925873,-13.515154037140809,0.7464833662195478,-0.9648864776094116
2026-08-04T14-20-33_tanh_4_70,200,100,5,tanh,4,1,0.0040904,0.0961564,0.003141,0.0861036,0.0033106,0.0931817,0.8577819895403508,-0.0097520600314831,-11.337463006280329,0.7627256236488922,-1.0063663332012718
2026-08-04T14-20-33_tanh_4_71,200,100,5,tanh,4,1,0.003531,0.0906344,0.0059496,0.114127,0.0029237,0.0873477,0.7473620870524449,0.0039868767953442,-17.662377854280834,0.7081280186731991,-1.093981732300983
2026-08-04T14-20-33_tanh_4_72,200,100,5,tanh,4,1,0.0122306,0.1586168,0.0235661,0.2372807,0.0150739,0.182787,0.1596014482614586,-0.0176348145688624,-15.24766500513112,0.6719441747366124,-1.7362735664859283
2026-08-04T14-20-33_tanh_4_73,200,100,5,tanh,4,1,0.0359871,0.2865849,0.0212229,0.2339596,0.0265838,0.2653449,-113.4462999838924,-116.80738786518688,-230.25532629149347,0.0248641102010043,0.0
2026-08-04T14-20-33_tanh_4_74,200,100,5,tanh,4,1,0.0086256,0.1356817,0.0060124,0.1261431,0.0229934,0.2107902,0.1086449213267134,-0.0283732354475257,-10.739199285172628,0.8288460140029752,-0.5575956519432929
2026-08-04T14-20-33_tanh_4_75,200,100,5,tanh,4,1,0.02735,0.2474795,0.0250792,0.2268453,0.0356645,0.2877748,-0.5801606041334145,-0.5825685194784381,-9.867691963286676,0.8804337595687178,-6.635708633240256e-05
2026-08-04T14-20-33_tanh_4_76,200,100,5,tanh,4,1,0.0365226,0.2715135,0.058613,0.2941437,0.0311063,0.2610562,-3.152524916994407,-8.816611915234116,-54.67859709352764,0.5663434004449124,-0.294155381464124
2026-08-04T14-20-33_tanh_4_77,200,100,5,tanh,4,1,0.0271386,0.2320259,0.0120798,0.1668959,0.0271466,0.2174567,0.0563309587365177,-0.092545159565955,-13.786212875518697,0.7474184154827327,-0.7373612185805538
2026-08-04T14-20-33_tanh_4_78,200,100,5,tanh,4,1,0.0092304,0.1385155,0.0220608,0.2034087,0.0112447,0.1430355,0.3178610899114086,-0.011180093233629,-11.842256533113176,0.7294272144556666,-1.0959916246686263
2026-08-04T14-20-33_tanh_4_79,200,100,5,tanh,4,1,0.0156818,0.172327,0.022721,0.2236653,0.0261329,0.2381077,0.0286723959684978,-1.7904240202578858,-18.52858282520084,0.0892458657012314,-33.00593410360226
2026-08-04T14-20-33_tanh_4_80,200,100,5,tanh,4,1,0.0144499,0.1762184,0.0275628,0.2438006,0.0258724,0.2283896,-2.855041330186194,-3.2080453044434933,-8.493247429397496,0.8257360807358592,-1.5396292707414716e-06
